extId,Country,District,Ward,Village,Hamlet
NHH,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Nhamissundo
NHN,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Nhanga
NOR,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Norte
NOT,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Nota
NSA,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Nsadgi
NSS,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Nsando
NTA,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Ntada
POP,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Posso
SAB,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Sabesse
SAA,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Samurendje
SER,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Serracao
TAM,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Tambalico
TES,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Tesoura
TEW,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Tewe
TIQ,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Tiquita
VEM,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Vembe
VUM,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Vumbe
XAM,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Xamanga/Bone
ZON,Mozambique,Mopeia,Mopeia Sede,Mopeia Sede/Cuacua,Zona Verde
ALE,Mozambique,Mopeia,Mopeia Sede,Rovuma/Conho,Alfredo
CUM,Mozambique,Mopeia,Mopeia Sede,Rovuma/Conho,Cumbalenga
LOT,Mozambique,Mopeia,Mopeia Sede,Rovuma/Conho,Lota
MAJ,Mozambique,Mopeia,Mopeia Sede,Rovuma/Conho,Majambe
NHG,Mozambique,Mopeia,Mopeia Sede,Rovuma/Conho,Nhango
NSO,Mozambique,Mopeia,Mopeia Sede,Rovuma/Conho,Nsanzo
NTR,Mozambique,Mopeia,Mopeia Sede,Rovuma/Conho,Ntruzao
1 D,Mozambique,Mopeia,Posto Campo,Campo Sede,1 de Maio
25H,Mozambique,Mopeia,Posto Campo,Campo Sede,25 de Junho
25E,Mozambique,Mopeia,Posto Campo,Campo Sede,25 de Setembro
3 D,Mozambique,Mopeia,Posto Campo,Campo Sede,3 de Fevereiro
4 B,Mozambique,Mopeia,Posto Campo,Campo Sede,4 de Outubro
ACO,Mozambique,Mopeia,Posto Campo,Campo Sede,Acordos de Lusaka
ARN,Mozambique,Mopeia,Posto Campo,Campo Sede,Armando Emilio Guebuza
ASS,Mozambique,Mopeia,Posto Campo,Campo Sede,Assiate
BAJ,Mozambique,Mopeia,Posto Campo,Campo Sede,Bajone
BAR,Mozambique,Mopeia,Posto Campo,Campo Sede,Bariela
CAI,Mozambique,Mopeia,Posto Campo,Campo Sede,Caixote
CUD,Mozambique,Mopeia,Posto Campo,Campo Sede,Cundine
ED ,Mozambique,Mopeia,Posto Campo,Campo Sede,Eduardo Mondlane
JOR,Mozambique,Mopeia,Posto Campo,Campo Sede,Jorissa
JOI,Mozambique,Mopeia,Posto Campo,Campo Sede,Josina Machel
PEC,Mozambique,Mopeia,Posto Campo,Campo Sede,Maina
MIL,Mozambique,Mopeia,Posto Campo,Campo Sede,Milange
NAA,Mozambique,Mopeia,Posto Campo,Campo Sede,Namitala
NTX,Mozambique,Mopeia,Posto Campo,Campo Sede,Ntxenga
SAC,Mozambique,Mopeia,Posto Campo,Campo Sede,Sacuane
SAS,Mozambique,Mopeia,Posto Campo,Campo Sede,Samaral
SOL,Mozambique,Mopeia,Posto Campo,Campo Sede,Sololo
AND,Mozambique,Mopeia,Posto Campo,Catale,Andale
ANT,Mozambique,Mopeia,Posto Campo,Catale,Antonio
CHN,Mozambique,Mopeia,Posto Campo,Catale,Changaue
LIC,Mozambique,Mopeia,Posto Campo,Catale,Licasse
RIC,Mozambique,Mopeia,Posto Campo,Catale,Manhai
MBL,Mozambique,Mopeia,Posto Campo,Catale,Mbawala
MOR,Mozambique,Mopeia,Posto Campo,Catale,Morais
MUA,Mozambique,Mopeia,Posto Campo,Catale,Muacaniua
MUE,Mozambique,Mopeia,Posto Campo,Catale,Murrongone
NAI,Mozambique,Mopeia,Posto Campo,Catale,Namaria
NHO,Mozambique,Mopeia,Posto Campo,Catale,Nhagoanine
PAN,Mozambique,Mopeia,Posto Campo,Catale,Panela
RAP,Mozambique,Mopeia,Posto Campo,Catale,Raposo
WAL,Mozambique,Mopeia,Posto Campo,Catale,Waluto
1  ,Mozambique,Mopeia,Posto Campo,Luala,1 de Junho
1 1,Mozambique,Mopeia,Posto Campo,Luala,1 de Maio
25N,Mozambique,Mopeia,Posto Campo,Luala,25 de Junho
3 E,Mozambique,Mopeia,Posto Campo,Luala,3 de Fevereiro
7 L,Mozambique,Mopeia,Posto Campo,Luala,7 de Abril
