list_name,name,label::Portuguese,label::Swahili,country,region,district,ward,village,hamlet,code
hamlet,Mpiaeca,Mpiaeca,Mpiaeca,Mozambique,Zambezia,Mopeia,Campo | Luala,Mpiaeca,Mpiaeca,MPI
hamlet,Mpolossa,Mpolossa,Mpolossa,Mozambique,Zambezia,Mopeia,Campo | Luala,Mpiaeca,Mpolossa,MPX
hamlet,Nuando,Nuando,Nuando,Mozambique,Zambezia,Mopeia,Campo | Luala,Mpiaeca,Nuando,NUX
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Luala,Mpiaeca,Outro,NA
hamlet,Rimba,Rimba,Rimba,Mozambique,Zambezia,Mopeia,Campo | Luala,Rimba,Rimba,RIM
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Luala,Rimba,Outro,NA
hamlet,1 de Junho A,1 de Junho A,1 de Junho A,Mozambique,Zambezia,Mopeia,Campo | Luala,Simogo,1 de Junho A,PXA
hamlet,7 de Abril A,7 de Abril A,7 de Abril A,Mozambique,Zambezia,Mopeia,Campo | Luala,Simogo,7 de Abril A,AAA
hamlet,7 de Abril C,7 de Abril C,7 de Abril C,Mozambique,Zambezia,Mopeia,Campo | Luala,Simogo,7 de Abril C,SXA
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Luala,Simogo,Outro,NA
hamlet,Sitone,Sitone,Sitone,Mozambique,Zambezia,Mopeia,Campo | Luala,Sitone,Sitone,SIT
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Luala,Sitone,Outro,NA
hamlet,Other,Outro,Nyingine,Mozambique,Zambezia,Mopeia,Campo | Luala,Other,Outro,NA
hamlet,Micajune,Micajune,Micajune,Mozambique,Zambezia,Mopeia,Campo | Mungane,Avalinho,Micajune,MIJ
hamlet,Mipurune,Mipurune,Mipurune,Mozambique,Zambezia,Mopeia,Campo | Mungane,Avalinho,Mipurune,XMI
